Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url
2023,Celta Vigo,La Liga,Hugo Sotelo,ESP,MF,18,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,https://fbref.com/en/players/3aa74860/Hugo-Sotelo
2023,Celta Vigo,La Liga,Jørgen Strand Larsen,NOR,FW,22,2000,32,20,1705,18.9,4,4,8,4,0,0,4,0,5.6,5.6,2,7.6,17,14,73,0.21,0.21,0.42,0.21,0.42,0.3,0.11,0.4,0.3,0.4,https://fbref.com/en/players/f553b2b3/Jorgen-Strand-Larsen
2023,Celta Vigo,La Liga,Williot Swedberg,SWE,MF,18,2004,4,0,55,0.6,0,0,0,0,0,0,1,0,0,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/184fe4b2/Williot-Swedberg
2023,Celta Vigo,La Liga,Renato Tapia,PER,"MF,DF",27,1995,28,16,1451,16.1,0,0,0,0,0,0,8,1,1,1,1.1,2,12,68,8,0,0,0,0,0,0.06,0.07,0.13,0.06,0.13,https://fbref.com/en/players/34269bdf/Renato-Tapia
2023,Celta Vigo,La Liga,Kevin Vázquez,ESP,"DF,MF",29,1993,10,6,441,4.9,0,0,0,0,0,0,2,0,0,0,0.1,0.1,5,13,14,0,0,0,0,0,0,0.02,0.02,0,0.02,https://fbref.com/en/players/ee923664/Kevin-Vazquez
2023,Celta Vigo,La Liga,Gabriel Veiga,ESP,MF,20,2002,36,28,2294,25.5,11,4,15,11,0,0,6,1,6.1,6.1,2.6,8.7,68,109,88,0.43,0.16,0.59,0.43,0.59,0.24,0.1,0.34,0.24,0.34,https://fbref.com/en/players/35a6e5c7/Gabriel-Veiga
2023,Celta Vigo,La Liga,Iván Villar,ESP,GK,25,1997,19,19,1710,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/cde52ef5/Ivan-Villar
2023,Cádiz,La Liga,Tomás Alarcón,CHI,MF,23,1999,4,2,223,2.5,0,0,0,0,0,0,2,1,0,0,0.1,0.1,2,9,6,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,https://fbref.com/en/players/99ea2ddd/Tomas-Alarcon
2023,Cádiz,La Liga,Rubén Alcaraz,ESP,MF,31,1991,31,22,2043,22.7,3,0,3,1,2,3,11,1,4,1.6,1.3,2.9,30,105,20,0.13,0,0.13,0.04,0.04,0.18,0.06,0.23,0.07,0.13,https://fbref.com/en/players/036bba5f/Ruben-Alcaraz
2023,Cádiz,La Liga,Iván Alejo,ESP,"MF,FW",27,1995,31,13,1311,14.6,0,1,1,0,0,0,13,1,1.2,1.2,2.4,3.6,52,16,103,0,0.07,0.07,0,0.07,0.08,0.17,0.25,0.08,0.25,https://fbref.com/en/players/3d7e48ce/Ivan-Alejo
2023,Cádiz,La Liga,José Antonio,ESP,"MF,DF",18,2004,2,0,46,0.5,0,1,1,0,0,0,0,0,0,0,0,0,2,3,2,0,1.96,1.96,0,1.96,0,0.03,0.03,0,0.03,https://fbref.com/en/players/62a583ee/Jose-Antonio
