"Rank","Player","Team","Clearancesper90","TotalClearances","Minutes","Matches","Country"
40,"Aitor Paredes","Athletic Club",3.4,101,2706,34,"ESP"
41,"Igor Zubeldia","Real Sociedad",3.4,94,2523,30,"ESP"
41,"Robin Le Normand","Real Sociedad",3.4,94,2473,29,"ESP"
43,"Marc Pubill","Almería",3.4,71,1889,23,"ESP"
44,"Daley Blind","Girona",3.3,110,2971,34,"NED"
45,"Stefan Savic","Atlético de Madrid",3.3,59,1631,23,"MNE"
46,"Renato Tapia","Celta de Vigo",3.3,49,1337,21,"PER"
47,"Saul Niguez","Atlético de Madrid",3.2,49,1363,34,"ESP"
48,"Daniel Vivian","Athletic Club",3.1,100,2879,33,"ESP"
49,"Abner","Real Betis",3.1,48,1397,23,"BRA"
50,"Jon Pacheco","Real Sociedad",3.1,53,1521,23,"ESP"
51,"Sergi Cardona","Las Palmas",2.9,92,2816,35,"ESP"
52,"Antonio Rüdiger","Real Madrid",2.9,86,2707,33,"GER"
53,"Mario Hermoso","Atlético de Madrid",2.9,82,2556,31,"ESP"
54,"Pathé Ciss","Rayo Vallecano",2.9,53,1658,31,"SEN"
55,"Kieran Tierney","Real Sociedad",2.9,40,1243,20,"SCO"
56,"Nacho Fernandez","Real Madrid",2.8,55,1739,29,"ESP"
57,"Rubén Duarte","Alavés",2.8,59,1875,28,"ESP"
58,"David Lopez","Girona",2.8,62,1975,25,"ESP"
58,"Ronald Araujo","Barcelona",2.8,62,1994,25,"URU"
60,"Nemanja Gudelj","Sevilla",2.8,55,1744,22,"SRB"
61,"José Copete","Mallorca",2.8,41,1335,19,"ESP"
62,"Gaston Álvarez","Getafe",2.7,77,2535,34,"URU"
63,"Juan Iglesias","Getafe",2.7,43,1413,23,"ESP"
64,"Alex Suárez","Las Palmas",2.6,75,2566,32,"ESP"
65,"Yuri Berchiche","Athletic Club",2.6,55,1931,27,"ESP"
66,"Julian Araujo","Las Palmas",2.6,43,1462,25,"MEX"
67,"Aihen Munoz","Real Sociedad",2.6,32,1120,21,"ESP"
68,"Jesus Vázquez","Valencia CF",2.6,20,705,20,"ESP"
69,"Yeray Álvarez","Athletic Club",2.6,33,1155,19,"ESP"
70,"Carlos Neva","Granada CF",2.5,88,3152,36,"ESP"
71,"Djené","Getafe",2.5,68,2490,33,"TOG"
72,"Javier Hernández","Cádiz",2.5,69,2517,30,"ESP"
73,"César Azpilicueta","Atlético de Madrid",2.5,39,1421,25,"ESP"
74,"Juan Miranda","Real Betis",2.5,51,1860,25,"ESP"
75,"Arnau Martinez","Girona",2.5,34,1240,21,"ESP"
76,"Jules Koundé","Barcelona",2.4,78,2899,35,"FRA"
77,"Eric Garcia","Girona",2.4,73,2697,32,"ESP"
78,"Javi Lopez","Alavés",2.4,63,2387,32,"ESP"
79,"Iker Munoz","Osasuna",2.4,50,1856,28,"ESP"
80,"Lucas Pires","Cádiz",2.4,41,1527,28,"BRA"
81,"Aurélien Tchouaméni","Real Madrid",2.3,50,1987,27,"FRA"
82,"Manuel Sánchez","Celta de Vigo",2.3,45,1777,26,"ESP"
83,"Kiko","Villarreal",2.3,40,1579,23,"ESP"
84,"Isaac Carcelén","Cádiz",2.2,64,2609,35,"ESP"
85,"Samu","Mallorca",2.2,57,2305,34,"POR"
86,"Dimitri Foulquier","Valencia CF",2.2,44,1833,33,"FRA"
87,"Diego Rico","Getafe",2.1,58,2536,32,"ESP"
88,"Carlos Benavidez","Alavés",2.1,26,1121,29,"URU"
89,"Mikel Vesga","Athletic Club",2.1,35,1535,27,"ESP"
90,"Andoni Gorosabel","Alavés",2,65,2863,36,"ESP"
91,"Giovanni González","Mallorca",2,54,2463,34,"URU"
92,"Mikel Merino","Real Sociedad",2,55,2485,32,"ESP"
93,"Thierry Correia","Valencia CF",2,49,2157,31,"POR"
94,"Álex Fernández","Cádiz",2,29,1283,26,"ESP"
95,"Raul Garcia","Athletic Club",2,9,404,20,"ESP"
96,"Pepelu","Valencia CF",1.9,69,3305,37,"ESP"
97,"Hamari Traoré","Real Sociedad",1.9,48,2296,31,"MLI"
98,"Jesus Navas","Sevilla",1.9,42,2010,29,"ESP"
99,"Lucas Vázquez","Real Madrid",1.9,29,1410,29,"ESP"
100,"Yangel Herrera","Girona",1.9,45,2120,29,"VEN"
101,"Lucas Torro","Osasuna",1.9,37,1788,28,"ESP"
102,"Inigo Lekue","Athletic Club",1.9,42,2001,27,"ESP"
103,"Juan Cruz","Osasuna",1.9,36,1663,26,"ESP"
104,"Juanlu Sánchez","Sevilla",1.9,25,1174,26,"ESP"
105,"Guido Rodriguez","Real Betis",1.9,39,1849,24,"ARG"
106,"José Gayà","Valencia CF",1.9,37,1797,24,"ESP"
107,"Pep Chavarria","Rayo Vallecano",1.9,24,1164,22,"ESP"
108,"Álvaro Vallés","Las Palmas",1.8,66,3264,37,"ESP"
109,"Martin Zubimendi","Real Sociedad",1.8,53,2655,31,"ESP"
110,"Andreas Christensen","Barcelona",1.8,40,1990,30,"DEN"
111,"Daniel Carvajal","Real Madrid",1.8,44,2172,28,"ESP"
112,"Hector Bellerin","Real Betis",1.8,35,1714,23,"ESP"
113,"Sergio Akieme","Almería",1.8,33,1676,19,"EQG"
114,"Miguel Gutiérrez","Girona",1.7,56,3037,35,"ESP"
115,"Iván Balliu","Rayo Vallecano",1.7,55,2876,33,"ALB"
116,"Ricard Sánchez","Granada CF",1.7,44,2298,33,"ESP"
117,"Adrià Pedrosa","Sevilla",1.7,34,1749,31,"ESP"
118,"Jaume Costa","Mallorca",1.7,32,1681,30,"ESP"
119,"Omar Mascarell","Mallorca",1.7,29,1573,29,"EQG"
120,"Oriol Romeu","Barcelona",1.7,18,930,28,"ESP"
121,"Gonzalo Escalante","Cádiz",1.7,33,1702,25,"ARG"
122,"Jaime Mata","Getafe",1.6,31,1790,35,"ESP"
123,"Oscar Valentin","Rayo Vallecano",1.6,48,2700,34,"ESP"
124,"Alfonso Espino","Rayo Vallecano",1.6,46,2512,31,"URU"
124,"Lucas Boye","Granada CF",1.6,46,2555,31,"ARG"
126,"Alberto Moreno","Villarreal",1.6,27,1490,27,"ESP"
127,"Benat Prados","Athletic Club",1.6,26,1450,26,"ESP"
128,"Hugo Guillamon","Valencia CF",1.6,23,1305,26,"ESP"
129,"Iddrisu Baba","Almería",1.6,25,1424,25,"GHA"
130,"Christopher Ramos","Cádiz",1.5,43,2627,37,"ESP"
131,"Nemanja Maksimovic","Getafe",1.5,55,3272,37,"SRB"
132,"Sergio Ruiz","Granada CF",1.5,42,2501,35,"ESP"
133,"Lucas Robertone","Almería",1.5,40,2391,33,"ARG"
134,"Joao Cancelo","Barcelona",1.5,42,2506,32,"POR"
135,"Cristhian Stuani","Girona",1.5,13,782,31,"URU"
136,"José Ángel Carmona","Getafe",1.5,22,1312,30,"ESP"
137,"Oscar de Marcos","Athletic Club",1.5,37,2261,28,"ESP"
138,"Ander Herrera","Athletic Club",1.5,17,1023,23,"ESP"
139,"Alejandro Pozo","Almería",1.5,16,970,21,"ESP"
140,"Marcos Acuna","Sevilla",1.5,21,1296,21,"ARG"
141,"Frenkie de Jong","Barcelona",1.5,27,1637,20,"NED"
142,"Aleix Garcia","Girona",1.4,49,3201,37,"ESP"
143,"Jesus Areso","Osasuna",1.4,41,2661,37,"ESP"
144,"Javier Guerra","Valencia CF",1.4,40,2502,36,"ESP"
145,"Rubén Alcaraz","Cádiz",1.4,49,3138,36,"ESP"
146,"Étienne Capoue","Villarreal",1.4,23,1444,32,"FRA"
147,"Johan Mojica","Osasuna",1.4,32,2041,30,"COL"
148,"Nahuel Molina","Atlético de Madrid",1.4,28,1855,30,"ARG"
149,"Rubén Pena","Osasuna",1.4,33,2105,29,"ESP"
150,"Toni Lato","Mallorca",1.4,24,1546,28,"ESP"
151,"Santi Comesana","Villarreal",1.4,25,1656,27,"ESP"
152,"Andriy Lunin","Real Madrid",1.4,29,1890,21,"UKR"
153,"Anthony Lozano","Almería",1.4,13,866,19,"HON"
154,"Pablo Ibánez","Osasuna",1.3,16,1141,33,"ESP"
155,"Vicente Guaita","Celta de Vigo",1.3,35,2402,27,"ESP"
156,"Pablo Barrios","Atlético de Madrid",1.3,23,1556,24,"ESP"
157,"Javi Galán","Real Sociedad",1.3,17,1159,19,"ESP"
158,"Ander Guevara","Alavés",1.2,39,2936,37,"ESP"
159,"Isi Palazon","Rayo Vallecano",1.2,36,2810,37,"ESP"
160,"Gonzalo Villar","Granada CF",1.2,24,1785,35,"ESP"
161,"Koke","Atlético de Madrid",1.2,32,2502,35,"ESP"
162,"Antonio Sivera","Alavés",1.2,41,3060,34,"ESP"
163,"Jeremias Ledesma","Cádiz",1.2,39,3049,34,"ARG"
164,"Álvaro Morata","Atlético de Madrid",1.2,26,1909,32,"ESP"
165,"Juanmi Latasa","Getafe",1.2,21,1553,32,"ESP"
165,"Maximo Perrone","Las Palmas",1.2,21,1626,29,"ARG"
167,"William Carvalho","Real Betis",1.2,9,669,22,"POR"
168,"Alfonso Pedraza","Villarreal",1.2,15,1119,19,"ESP"
169,"Alex Remiro","Real Sociedad",1.1,41,3276,37,"ESP"
169,"Giorgi Mamardashvili","Valencia CF",1.1,41,3285,37,"GEO"
171,"Marcos Llorente","Atlético de Madrid",1.1,30,2570,37,"ESP"
172,"Manu Morlanes","Mallorca",1.1,19,1610,35,"ESP"
173,"Fran Beltrán","Celta de Vigo",1.1,31,2438,33,"ESP"
174,"José Maria Callejon","Granada CF",1.1,10,794,25,"ESP"
175,"Pablo Maffeo","Mallorca",1.1,18,1456,22,"ARG"
176,"Oscar Mingueza","Celta de Vigo",1,32,3002,38,"ESP"
177,"Antonio Blanco","Alavés",1,28,2436,33,"ESP"
178,"Daniel Parejo","Villarreal",1,29,2586,33,"ESP"
179,"Youssef En-Nesyri","Sevilla",1,28,2573,33,"MAR"
180,"Leo Baptistao","Almería",1,20,1843,32,"BRA"
181,"Eduardo Camavinga","Real Madrid",1,21,1824,31,"FRA"
182,"Vedat Muriqi","Mallorca",1,26,2329,29,"KVX"
183,"Marc Roca","Real Betis",1,21,1986,26,"ESP"
184,"Francisco Garcia","Real Madrid",1,16,1396,25,"ESP"
185,"Federico Valverde","Real Madrid",0.9,30,2910,37,"URU"
186,"Stole Dimitrievski","Rayo Vallecano",0.9,35,3330,37,"MKD"
187,"Gerard Gumbau","Granada CF",0.9,28,2684,35,"ESP"
188,"Abdon Prats","Mallorca",0.9,12,1258,34,"ESP"
189,"Alexander Sørloth","Villarreal",0.9,26,2491,34,"NOR"
190,"Inaki Williams","Athletic Club",0.9,27,2855,34,"GHA"
191,"Álvaro Garcia","Rayo Vallecano",0.9,25,2493,32,"ESP"
192,"Anastasios Douvikas","Celta de Vigo",0.9,9,886,32,"GRE"
193,"Gorka Guruzeta","Athletic Club",0.9,23,2240,32,"ESP"
194,"Sergio Herrera","Osasuna",0.9,30,2870,32,"ESP"
195,"Alex Sola","Alavés",0.9,13,1285,31,"ESP"
196,"Dion Lopy","Almería",0.9,19,1917,30,"SEN"
197,"Gerard Moreno","Villarreal",0.9,23,2229,30,"ESP"
198,"Rubén Garcia","Osasuna",0.9,15,1549,30,"ESP"
199,"Viktor Tsigankov","Girona",0.9,20,2067,30,"UKR"
200,"Benat Turrientes","Real Sociedad",0.9,17,1688,29,"ESP"
201,"Carles Alena","Getafe",0.9,10,1007,29,"ESP"
202,"Gonzalo Melero","Almería",0.9,11,1093,28,"ESP"
203,"Moi Gomez","Osasuna",0.9,21,2010,28,"ESP"
204,"Marc Cardona","Las Palmas",0.9,7,724,26,"ESP"
205,"Roman Yaremchuk","Valencia CF",0.9,9,926,25,"UKR"
205,"Unai Gomez","Athletic Club",0.9,9,867,25,"ESP"
207,"Abderrahman Rebbach","Alavés",0.9,7,713,23,"ALG"
208,"Ferland Mendy","Real Madrid",0.9,18,1725,23,"FRA"
209,"Radamel Falcao","Rayo Vallecano",0.9,4,391,22,"COL"
210,"David Soria","Getafe",0.8,32,3414,38,"ESP"
211,"Hugo Duro","Valencia CF",0.8,27,2994,37,"ESP"
212,"Luis Rioja","Alavés",0.8,22,2511,37,"ESP"
213,"Jorge de Frutos","Rayo Vallecano",0.8,14,1542,36,"ESP"
214,"Predrag Rajkovic","Mallorca",0.8,30,3240,36,"SRB"
215,"Cyle Larin","Mallorca",0.8,17,1823,35,"CAN"
216,"Enzo Loiodice","Las Palmas",0.8,15,1792,34,"FRA"
217,"Rodrigo Riquelme","Atlético de Madrid",0.8,13,1522,34,"ESP"
218,"Jon Moncayola","Osasuna",0.8,17,1801,33,"ESP"
219,"Kike Garcia","Alavés",0.8,12,1421,33,"ESP"
220,"Luis Maximiano","Almería",0.8,27,2970,33,"POR"
221,"Brais Méndez","Real Sociedad",0.8,21,2420,32,"ESP"
222,"Ruben Sobrino","Cádiz",0.8,14,1648,32,"ESP"
223,"Sergio Camello","Rayo Vallecano",0.8,15,1668,31,"ESP"
223,"Iván Alejo","Cádiz",0.8,15,1702,30,"ESP"
225,"Rui Silva","Real Betis",0.8,22,2475,28,"POR"
226,"Umar Sadiq","Real Sociedad",0.8,10,1074,26,"NGA"
227,"Ezequiel Ávila","Real Betis",0.8,11,1166,23,"ARG"
228,"Sergi Guardiola","Cádiz",0.8,4,475,22,"ESP"
229,"Selim Amallah","Valencia CF",0.8,5,597,20,"MAR"
230,"Javier Munoz","Las Palmas",0.7,22,2646,37,"ESP"
231,"Daniel Rodriguez","Mallorca",0.7,20,2632,36,"ESP"
232,"Filip Jörgensen","Villarreal",0.7,26,3240,36,"DEN"
233,"Jon Guridi","Alavés",0.7,22,2697,36,"ESP"
234,"Alex Berenguer","Athletic Club",0.7,12,1581,35,"ESP"
235,"Lucas Ocampos","Sevilla",0.7,23,2885,35,"ARG"
236,"Raul Garcia","Osasuna",0.7,11,1347,35,"ESP"
237,"Samuel Dias Lino","Atlético de Madrid",0.7,17,2087,34,"BRA"
237,"Yan Couto","Girona",0.7,17,2245,34,"BRA"
239,"Ante Budimir","Osasuna",0.7,18,2449,33,"CRO"
240,"Antoine Griezmann","Atlético de Madrid",0.7,21,2654,33,"FRA"
241,"Willian José","Real Betis",0.7,15,1978,33,"BRA"
242,"Luca de la Torre","Celta de Vigo",0.7,16,1956,31,"USA"
243,"Marvin Park","Las Palmas",0.7,14,1852,31,"ESP"
244,"Inigo Ruiz de Galarreta","Athletic Club",0.7,17,2104,29,"ESP"
245,"Boubakary Soumaré","Sevilla",0.7,18,2286,28,"FRA"
246,"Raphinha","Barcelona",0.7,11,1370,28,"BRA"
247,"Borja Mayoral","Getafe",0.7,16,2162,27,"ESP"
248,"Sandro Ramirez","Las Palmas",0.7,14,1819,27,"ESP"
249,"Kike Pérez","Rayo Vallecano",0.7,6,828,24,"ESP"
250,"Ørjan Håskjold Nyland","Sevilla",0.7,16,2160,24,"NOR"
251,"Ramon Terrats","Villarreal",0.7,6,780,19,"ESP"
252,"Jan Oblak","Atlético de Madrid",0.6,23,3420,38,"SVN"
252,"Kirian Rodriguez","Las Palmas",0.6,23,3217,37,"ESP"
254,"Artem Dovbyk","Girona",0.6,17,2605,36,"UKR"
255,"Sergi Darder","Mallorca",0.6,14,2154,36,"ESP"
256,"Robert Lewandowski","Barcelona",0.6,18,2758,35,"POL"
257,"Samuel Omorodion","Alavés",0.6,14,2003,35,"ESP"
258,"Unai Lopez","Rayo Vallecano",0.6,13,2123,35,"ESP"
259,"Álex Baena","Villarreal",0.6,16,2599,34,"ESP"
260,"Fermin Lopez","Barcelona",0.6,9,1444,31,"ESP"
260,"Oscar Trejo","Rayo Vallecano",0.6,9,1381,31,"ARG"
262,"Joao Félix","Barcelona",0.6,11,1542,30,"POR"
263,"Antonio Sánchez","Mallorca",0.6,9,1463,29,"ESP"
264,"Arsen Zakharyan","Real Sociedad",0.6,8,1229,29,"RUS"
265,"Valery Fernández","Girona",0.6,3,486,27,"ESP"
266,"Raul de Tomas","Rayo Vallecano",0.6,8,1277,25,"ESP"
267,"Jørgen Strand Larsen","Celta de Vigo",0.5,16,2887,37,"NOR"
267,"Ilkay Gündogan","Barcelona",0.5,16,2997,36,"GER"
269,"Joselu","Real Madrid",0.5,10,1676,34,"ESP"
270,"Rodrigo De Paul","Atlético de Madrid",0.5,12,2084,34,"ARG"
271,"Mikel Oyarzabal","Real Sociedad",0.5,11,2157,33,"ESP"
272,"Ayoze Pérez","Real Betis",0.5,12,2307,31,"ESP"
273,"Abdessamad Ezzalzouli","Real Betis",0.5,5,921,28,"MAR"
274,"Jude Bellingham","Real Madrid",0.5,13,2323,28,"ENG"
274,"Marc-Andre ter Stegen","Barcelona",0.5,13,2520,28,"GER"
276,"Antonio Puertas","Granada CF",0.5,4,720,27,"ESP"
277,"Sergi Canos","Valencia CF",0.5,7,1234,27,"ESP"
278,"Munir El Haddadi","Las Palmas",0.4,12,2470,38,"MAR"
279,"Paulo Gazzaniga","Girona",0.4,17,3420,38,"ARG"
280,"Lamine Yamal","Barcelona",0.4,9,2197,37,"ESP"
281,"Cristian Portu","Girona",0.4,5,1271,36,"ESP"
282,"Iván Martin","Girona",0.4,12,2744,36,"ESP"
283,"Unai Simon","Athletic Club",0.4,14,3184,36,"ESP"
284,"Sergio Arribas","Almería",0.4,8,2055,34,"ESP"
285,"Ángel Correa","Atlético de Madrid",0.4,6,1525,32,"ARG"
286,"Ilias Akhomach","Villarreal",0.4,7,1511,31,"MAR"
287,"Ferran Torres","Barcelona",0.4,6,1204,29,"ESP"
288,"Largie Ramazani","Almería",0.4,7,1560,29,"BEL"
289,"Alberto Moleiro","Las Palmas",0.4,9,1807,28,"ESP"
290,"Jonathan Bamba","Celta de Vigo",0.4,8,1993,27,"CIV"
291,"Luis Milla","Getafe",0.4,9,2123,27,"ESP"
292,"Pablo Torre","Girona",0.4,3,690,26,"ESP"
293,"Djibril Sow","Sevilla",0.4,6,1469,24,"SUI"
294,"Oscar Rodriguez","Getafe",0.4,4,962,24,"ESP"
295,"Pedri","Barcelona",0.4,7,1482,24,"ESP"
296,"André Silva","Real Sociedad",0.4,3,730,19,"POR"
297,"Adrián Embarba","Almería",0.3,8,2485,36,"ESP"
298,"Diego Lopez","Valencia CF",0.3,10,2671,36,"ESP"
299,"Myrto Uzuni","Granada CF",0.3,7,2459,34,"ALB"
300,"Aimar Oroz","Osasuna",0.3,8,2350,33,"ESP"
301,"Toni Kroos","Real Madrid",0.3,6,2130,33,"GER"
301,"Luka Modric","Real Madrid",0.3,6,1685,32,"CRO"
303,"Ander Barrenetxea","Real Sociedad",0.3,4,1436,29,"ESP"
304,"José Luis Morales","Villarreal",0.3,3,1037,29,"ESP"
305,"Roger","Cádiz",0.3,4,1367,23,"ESP"
306,"Ianis Hagi","Alavés",0.3,3,798,22,"ROU"
307,"Daniel Ceballos","Real Madrid",0.3,2,586,20,"ESP"
308,"Savio","Girona",0.2,5,2989,37,"BRA"
309,"Iago Aspas","Celta de Vigo",0.2,6,2715,35,"ESP"
310,"Rodrygo","Real Madrid",0.2,4,2388,34,"BRA"
310,"Fran Pérez","Valencia CF",0.2,4,2069,32,"ESP"
312,"Maximiliano Gomez","Cádiz",0.2,3,1157,31,"URU"
313,"Oihan Sancet","Athletic Club",0.2,4,1991,30,"ESP"
314,"Takefusa Kubo","Real Sociedad",0.2,5,2155,30,"JPN"
315,"Isco","Real Betis",0.2,6,2338,29,"ESP"
316,"Rodri","Real Betis",0.2,2,1039,29,"ESP"
317,"Suso","Sevilla",0.2,3,1514,29,"ESP"
318,"Robert Navarro","Cádiz",0.2,5,1905,28,"ESP"
319,"Oliver Torres","Sevilla",0.2,3,1620,27,"ESP"
320,"José Arnáiz","Osasuna",0.2,2,922,26,"ESP"
321,"Oscar Melendo","Granada CF",0.2,3,1126,26,"ESP"
321,"Dodi Lukebakio","Sevilla",0.2,3,1124,23,"BEL"
323,"Darwin Machis","Cádiz",0.2,2,782,21,"VEN"
323,"Nabil Fekir","Real Betis",0.2,2,1049,19,"FRA"
325,"Mason Greenwood","Getafe",0.1,4,2667,33,"ENG"
326,"Brahim Diaz","Real Madrid",0.1,2,1551,31,"MAR"
327,"Nico Williams","Athletic Club",0.1,3,2280,31,"ESP"
328,"Bryan Zaragoza","Granada CF",0.1,1,1640,21,"ESP"
329,"Jonathan Viera","Almería",0.1,2,1541,21,"ESP"
