"Rank","Player","Team","BigChancesCreated","TotalAssists","Minutes","Matches","Country"
76,"Francisco Garcia","Real Madrid",5,5,1396,25,"ESP"
76,"Gorka Guruzeta","Athletic Club",5,5,2240,32,"ESP"
76,"Lucas Robertone","Almería",5,5,2391,33,"ARG"
76,"Oscar de Marcos","Athletic Club",5,5,2261,28,"ESP"
76,"Rodrygo","Real Madrid",5,5,2388,34,"BRA"
82,"Jon Moncayola","Osasuna",5,3,1801,33,"ESP"
82,"Jørgen Strand Larsen","Celta de Vigo",5,3,2887,37,"NOR"
84,"Jules Koundé","Barcelona",5,2,2899,35,"FRA"
84,"Rubén Pena","Osasuna",5,2,2105,29,"ESP"
84,"Unai Lopez","Rayo Vallecano",5,2,2123,35,"ESP"
87,"Alfonso Espino","Rayo Vallecano",5,1,2512,31,"URU"
87,"Carles Alena","Getafe",5,1,1007,29,"ESP"
87,"Inigo Ruiz de Galarreta","Athletic Club",5,1,2104,29,"ESP"
87,"José Arnáiz","Osasuna",5,1,922,26,"ESP"
87,"Myrto Uzuni","Granada CF",5,1,2459,34,"ALB"
87,"Rubén Duarte","Alavés",5,1,1875,28,"ESP"
93,"Willian José","Real Betis",4,5,1978,33,"BRA"
94,"Iván Martin","Girona",4,4,2744,36,"ESP"
95,"Alberto Moleiro","Las Palmas",4,3,1807,28,"ESP"
95,"Alejandro Catena","Osasuna",4,3,2536,30,"ESP"
95,"Alex Sola","Alavés",4,3,1285,31,"ESP"
95,"Álvaro Morata","Atlético de Madrid",4,3,1909,32,"ESP"
95,"Cristhian Stuani","Girona",4,3,782,31,"URU"
95,"Daniel Carvajal","Real Madrid",4,3,2172,28,"ESP"
95,"Javi Lopez","Alavés",4,3,2387,32,"ESP"
95,"Mikel Merino","Real Sociedad",4,3,2485,32,"ESP"
95,"Mikel Oyarzabal","Real Sociedad",4,3,2157,33,"ESP"
95,"Nahuel Molina","Atlético de Madrid",4,3,1855,30,"ARG"
95,"Sandro Ramirez","Las Palmas",4,3,1819,27,"ESP"
106,"Ante Budimir","Osasuna",4,2,2449,33,"CRO"
106,"Giuliano Simeone","Alavés",4,2,628,14,"ARG"
106,"Goncalo Guedes","Villarreal",4,2,951,17,"POR"
106,"Ianis Hagi","Alavés",4,2,798,22,"ROU"
106,"Iván Alejo","Cádiz",4,2,1702,30,"ESP"
106,"Javier Hernández","Cádiz",4,2,2517,30,"ESP"
106,"José Gayà","Valencia CF",4,2,1797,24,"ESP"
106,"Joselu","Real Madrid",4,2,1676,34,"ESP"
106,"Marcos Acuna","Sevilla",4,2,1296,21,"ARG"
106,"Marvin Park","Las Palmas",4,2,1852,31,"ESP"
106,"Nabil Fekir","Real Betis",4,2,1049,19,"FRA"
106,"Pablo Fornals","Real Betis",4,2,1153,15,"ESP"
106,"Sergi Cardona","Las Palmas",4,2,2816,35,"ESP"
106,"Thierry Correia","Valencia CF",4,2,2157,31,"POR"
120,"Abdon Prats","Mallorca",4,1,1258,34,"ESP"
120,"Álvaro Garcia","Rayo Vallecano",4,1,2493,32,"ESP"
120,"Hugo Sotelo","Celta de Vigo",4,1,718,17,"ESP"
120,"Juan Miranda","Real Betis",4,1,1860,25,"ESP"
120,"Oliver Torres","Sevilla",4,1,1620,27,"ESP"
120,"Yuri Berchiche","Athletic Club",4,1,1931,27,"ESP"
126,"Frenkie de Jong","Barcelona",4,0,1637,20,"NED"
126,"Sergio Akieme","Almería",4,0,1676,19,"EQG"
128,"Sergio Ruiz","Granada CF",3,4,2501,35,"ESP"
129,"Ezequiel Ávila","Osasuna",3,3,1166,23,"ARG"
129,"Gonzalo Villar","Granada CF",3,3,1785,35,"ESP"
131,"Aihen Munoz","Real Sociedad",3,2,1120,21,"ESP"
131,"Antonio Raillo","Mallorca",3,2,2198,26,"ESP"
131,"Arnau Martinez","Girona",3,2,1240,21,"ESP"
131,"Arsen Zakharyan","Real Sociedad",3,2,1229,29,"RUS"
131,"Hugo Duro","Valencia CF",3,2,2994,37,"ESP"
131,"Jonathan Bamba","Celta de Vigo",3,2,1993,27,"CIV"
131,"Pablo Ibánez","Osasuna",3,2,1141,33,"ESP"
131,"Ronald Araujo","Barcelona",3,2,1994,25,"URU"
139,"Abner","Real Betis",3,1,1397,23,"BRA"
139,"Aimar Oroz","Osasuna",3,1,2350,33,"ESP"
139,"Antonio Blanco","Alavés",3,1,2436,33,"ESP"
139,"Franco Cervi","Celta de Vigo",3,1,537,17,"ARG"
139,"Gonzalo Melero","Almería",3,1,1093,28,"ESP"
139,"Hugo Álvarez","Celta de Vigo",3,1,763,12,"ESP"
139,"Iván Balliu","Rayo Vallecano",3,1,2876,33,"ALB"
139,"Ivan Rakitic","Sevilla",3,1,1425,18,"CRO"
139,"Juan Brandariz","Almería",3,1,2432,31,"ESP"
139,"Kamil Jozwiak","Granada CF",3,1,573,11,"POL"
139,"Martin Valjent","Mallorca",3,1,2354,28,"SVK"
139,"Memphis Depay","Atlético de Madrid",3,1,888,23,"NED"
139,"Mikel Vesga","Athletic Club",3,1,1535,27,"ESP"
139,"Oriol Romeu","Barcelona",3,1,930,28,"ESP"
139,"Pablo Barrios","Atlético de Madrid",3,1,1556,24,"ESP"
139,"Raul Albiol","Villarreal",3,1,2035,26,"ESP"
139,"Ruben Sobrino","Cádiz",3,1,1648,32,"ESP"
139,"Sergi Guardiola","Cádiz",3,1,475,22,"ESP"
139,"Toni Lato","Mallorca",3,1,1546,28,"ESP"
158,"Andoni Gorosabel","Alavés",3,0,2863,36,"ESP"
158,"Antonio Rüdiger","Real Madrid",3,0,2707,33,"GER"
158,"Dion Lopy","Almería",3,0,1917,30,"SEN"
158,"Fabricio Angileri","Getafe",3,0,160,11,"ARG"
158,"Lucas Pires","Cádiz",3,0,1527,28,"BRA"
158,"Santi Comesana","Villarreal",3,0,1656,27,"ESP"
158,"Yangel Herrera","Girona",3,0,2120,29,"VEN"
165,"Luca de la Torre","Celta de Vigo",2,4,1956,31,"USA"
166,"Ander Herrera","Athletic Club",2,3,1023,23,"ESP"
166,"Javier Munoz","Las Palmas",2,3,2646,37,"ESP"
166,"Marc Pubill","Almería",2,3,1889,23,"ESP"
169,"Alberto Moreno","Villarreal",2,2,1490,27,"ESP"
169,"Andreas Christensen","Barcelona",2,2,1990,30,"DEN"
169,"Cyle Larin","Mallorca",2,2,1823,35,"CAN"
169,"Daley Blind","Girona",2,2,2971,34,"NED"
169,"Daniel Ceballos","Real Madrid",2,2,586,20,"ESP"
169,"Eduardo Camavinga","Real Madrid",2,2,1824,31,"FRA"
169,"Ferran Torres","Barcelona",2,2,1204,29,"ESP"
169,"Ilaix Moriba","Getafe",2,2,606,14,"GUI"
169,"Inigo Lekue","Athletic Club",2,2,2001,27,"ESP"
169,"Kieran Tierney","Real Sociedad",2,2,1243,20,"SCO"
169,"Kike Garcia","Alavés",2,2,1421,33,"ESP"
169,"Kirian Rodriguez","Las Palmas",2,2,3217,37,"ESP"
169,"Manu Morlanes","Mallorca",2,2,1610,35,"ESP"
169,"Marc Roca","Real Betis",2,2,1986,26,"ESP"
169,"Munir El Haddadi","Las Palmas",2,2,2470,38,"MAR"
169,"Ramon Terrats","Villarreal",2,2,780,19,"ESP"
169,"Raul de Tomas","Rayo Vallecano",2,2,1277,25,"ESP"
169,"Sheraldo Becker","Real Sociedad",2,2,772,15,"SUR"
169,"Youssef En-Nesyri","Sevilla",2,2,2573,33,"MAR"
188,"Aitor Ruibal","Real Betis",2,1,1015,18,"ESP"
188,"Álex Centelles","Almería",2,1,979,14,"ESP"
188,"Anastasios Douvikas","Celta de Vigo",2,1,886,32,"GRE"
188,"Ander Barrenetxea","Real Sociedad",2,1,1436,29,"ESP"
188,"André Almeida","Valencia CF",2,1,969,18,"POR"
188,"Asier Villalibre","Athletic Club",2,1,503,18,"ESP"
188,"Benat Turrientes","Real Sociedad",2,1,1688,29,"ESP"
188,"Borja Iglesias","Real Betis",2,1,404,11,"ESP"
188,"Borja Mayoral","Getafe",2,1,2162,27,"ESP"
188,"Boubakary Soumaré","Sevilla",2,1,2286,28,"FRA"
188,"Carles Pérez","Celta de Vigo",2,1,768,16,"ESP"
188,"Christopher Ramos","Cádiz",2,1,2627,37,"ESP"
188,"David Alaba","Real Madrid",2,1,1156,14,"AUT"
188,"Florian Lejeune","Rayo Vallecano",2,1,3328,37,"FRA"
188,"Gavi","Barcelona",2,1,943,12,"ESP"
188,"Hector Bellerin","Real Betis",2,1,1714,23,"ESP"
188,"Ignasi Miquel","Granada CF",2,1,2991,34,"ESP"
188,"Isi Palazon","Rayo Vallecano",2,1,2810,37,"ESP"
188,"Jailson","Celta de Vigo",2,1,893,14,"BRA"
188,"Jaime Mata","Getafe",2,1,1790,35,"ESP"
188,"Javier Guerra","Valencia CF",2,1,2502,36,"ESP"
188,"José Maria Callejon","Granada CF",2,1,794,25,"ESP"
188,"Juanmi","Cádiz",2,1,872,16,"ESP"
188,"Luis Milla","Getafe",2,1,2123,27,"ESP"
188,"Marc Cardona","Las Palmas",2,1,724,26,"ESP"
