Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Url
2024,Atlético Madrid,La Liga,team,27,38,654,399,308,263,83,327,671,48.7,344,460,114,346,256,910,793,8,https://fbref.com/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
2024,Atlético Madrid,La Liga,opponent,27,38,530,318,257,182,91,227,524,43.3,297,407,104,303,298,828,735,17,https://fbref.com/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
2024,Barcelona,La Liga,team,29,38,571,363,271,223,77,243,523,46.5,280,363,97,266,257,828,573,17,https://fbref.com/en/squads/206d90db/2023-2024/Barcelona-Stats
2024,Barcelona,La Liga,opponent,29,38,643,392,333,227,83,338,722,46.8,384,450,159,291,318,961,770,10,https://fbref.com/en/squads/206d90db/2023-2024/Barcelona-Stats
2024,Betis,La Liga,team,35,38,692,440,305,300,87,358,683,52.4,325,422,101,321,345,1037,801,9,https://fbref.com/en/squads/fc536746/2023-2024/Real-Betis-Stats
2024,Betis,La Liga,opponent,35,38,756,464,337,343,76,329,715,46,386,484,144,340,314,1070,693,13,https://fbref.com/en/squads/fc536746/2023-2024/Real-Betis-Stats
2024,Celta Vigo,La Liga,team,31,38,627,382,302,243,82,308,662,46.5,354,434,116,318,297,924,832,9,https://fbref.com/en/squads/f25da7fb/2023-2024/Celta-Vigo-Stats
2024,Celta Vigo,La Liga,opponent,31,38,627,382,309,254,64,291,586,49.7,295,444,125,319,335,962,721,8,https://fbref.com/en/squads/f25da7fb/2023-2024/Celta-Vigo-Stats
2024,Cádiz,La Liga,team,34,38,671,398,338,264,69,341,728,46.8,387,443,123,320,298,969,786,13,https://fbref.com/en/squads/ee7c297c/2023-2024/Cadiz-Stats
2024,Cádiz,La Liga,opponent,34,38,606,370,281,253,72,263,493,53.3,230,341,89,252,243,849,795,7,https://fbref.com/en/squads/ee7c297c/2023-2024/Cadiz-Stats
2024,Getafe,La Liga,team,33,38,608,364,269,251,88,291,577,50.4,286,342,103,239,307,915,730,6,https://fbref.com/en/squads/7848bd64/2023-2024/Getafe-Stats
2024,Getafe,La Liga,opponent,33,38,540,348,267,228,45,260,499,52.1,239,382,113,269,261,801,855,17,https://fbref.com/en/squads/7848bd64/2023-2024/Getafe-Stats
2024,Girona,La Liga,team,25,38,544,340,264,222,58,274,521,52.6,247,378,124,254,257,801,661,21,https://fbref.com/en/squads/9024a00a/2023-2024/Girona-Stats
2024,Girona,La Liga,opponent,25,38,673,423,315,235,123,297,650,45.7,353,374,104,270,301,974,630,10,https://fbref.com/en/squads/9024a00a/2023-2024/Girona-Stats
2024,Granada,La Liga,team,40,38,637,374,336,237,64,289,623,46.4,334,404,110,294,280,917,779,26,https://fbref.com/en/squads/a0435291/2023-2024/Granada-Stats
2024,Granada,La Liga,opponent,40,38,601,344,270,262,69,296,599,49.4,303,390,106,284,290,891,729,11,https://fbref.com/en/squads/a0435291/2023-2024/Granada-Stats
2024,Las Palmas,La Liga,team,29,38,662,397,328,263,71,305,633,48.2,328,416,98,318,281,943,761,14,https://fbref.com/en/squads/0049d422/2023-2024/Las-Palmas-Stats
2024,Las Palmas,La Liga,opponent,29,38,673,415,301,301,71,308,624,49.4,316,426,99,327,335,1008,656,7,https://fbref.com/en/squads/0049d422/2023-2024/Las-Palmas-Stats
2024,Mallorca,La Liga,team,25,38,686,388,347,281,58,340,657,51.8,317,369,131,238,365,1051,785,10,https://fbref.com/en/squads/2aa12281/2023-2024/Mallorca-Stats
2024,Mallorca,La Liga,opponent,25,38,532,318,237,231,64,219,470,46.6,251,375,108,267,295,827,814,10,https://fbref.com/en/squads/2aa12281/2023-2024/Mallorca-Stats
2024,Osasuna,La Liga,team,29,38,525,311,247,201,77,243,517,47,274,400,108,292,263,788,756,16,https://fbref.com/en/squads/03c57e2b/2023-2024/Osasuna-Stats
2024,Osasuna,La Liga,opponent,29,38,530,339,286,187,57,247,484,51,237,411,101,310,291,821,903,9,https://fbref.com/en/squads/03c57e2b/2023-2024/Osasuna-Stats
2024,Rayo Vallecano,La Liga,team,26,38,630,372,279,282,69,270,608,44.4,338,410,105,305,308,938,796,12,https://fbref.com/en/squads/98e8af82/2023-2024/Rayo-Vallecano-Stats
2024,Rayo Vallecano,La Liga,opponent,26,38,679,408,314,284,81,306,589,52,283,388,119,269,285,964,759,17,https://fbref.com/en/squads/98e8af82/2023-2024/Rayo-Vallecano-Stats
2024,Real Madrid,La Liga,team,27,38,557,368,252,214,91,225,461,48.8,236,401,104,297,296,853,552,14,https://fbref.com/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
2024,Real Madrid,La Liga,opponent,27,38,705,389,393,221,91,393,794,49.5,401,402,146,256,296,1001,689,16,https://fbref.com/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
2024,Real Sociedad,La Liga,team,31,38,650,405,271,285,94,283,552,51.3,269,405,118,287,253,903,693,15,https://fbref.com/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
2024,Real Sociedad,La Liga,opponent,31,38,635,368,305,268,62,284,605,46.9,321,402,112,290,278,913,803,9,https://fbref.com/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
2024,Sevilla,La Liga,team,35,38,697,463,380,237,80,335,626,53.5,291,395,123,272,313,1010,772,9,https://fbref.com/en/squads/ad2be733/2023-2024/Sevilla-Stats
2024,Sevilla,La Liga,opponent,35,38,558,347,247,240,71,278,570,48.8,292,367,88,279,236,794,895,10,https://fbref.com/en/squads/ad2be733/2023-2024/Sevilla-Stats
2024,Valencia,La Liga,team,29,38,657,379,335,250,72,309,618,50,309,392,105,287,324,981,842,9,https://fbref.com/en/squads/dcc91a7b/2023-2024/Valencia-Stats
2024,Valencia,La Liga,opponent,29,38,612,379,293,231,88,294,570,51.6,276,406,87,319,269,881,646,10,https://fbref.com/en/squads/dcc91a7b/2023-2024/Valencia-Stats
2024,Villarreal,La Liga,team,32,38,576,348,288,212,76,260,532,48.9,272,386,130,256,304,880,789,12,https://fbref.com/en/squads/2a8183b3/2023-2024/Villarreal-Stats
2024,Villarreal,La Liga,opponent,32,38,685,436,331,258,96,329,680,48.4,351,422,126,296,346,1031,584,11,https://fbref.com/en/squads/2a8183b3/2023-2024/Villarreal-Stats
