Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,Url
2023,Barcelona,La Liga,Alejandro Balde,ESP,DF,18,2003,27.5,1939,40,419,874,672,78,1939,96,50,52.1,36,37.5,1270,7276,4100,96,69,35,41,24,1348,234,https://fbref.com/en/players/5ccc9672/Alejandro-Balde
2023,Barcelona,La Liga,Héctor Bellerín,ESP,DF,27,1995,1.6,107,1,17,50,41,5,107,4,3,75,1,25,54,271,159,2,3,1,1,0,66,6,https://fbref.com/en/players/f874dd44/Hector-Bellerin
2023,Barcelona,La Liga,Sergio Busquets,ESP,MF,34,1988,26,2172,62,387,1427,373,14,2172,16,11,68.8,3,18.8,1279,5074,2594,26,32,1,19,12,1551,32,https://fbref.com/en/players/5ab0ea87/Sergio-Busquets
2023,Barcelona,La Liga,Andreas Christensen,DEN,DF,26,1996,19.6,1652,127,645,962,50,13,1652,2,0,0,2,100,1170,5841,3232,18,15,0,10,1,1257,5,https://fbref.com/en/players/1cb49278/Andreas-Christensen
2023,Barcelona,La Liga,Ousmane Dembélé,FRA,FW,25,1997,15.7,1041,2,30,311,719,103,1041,114,52,45.6,50,43.9,755,6024,3328,124,75,56,27,18,841,209,https://fbref.com/en/players/b19db005/Ousmane-Dembele
2023,Barcelona,La Liga,Ansu Fati,ESP,FW,19,2002,15.5,805,10,64,278,469,128,805,47,23,48.9,21,44.7,556,2983,1399,47,28,31,35,30,639,178,https://fbref.com/en/players/0ba976e4/Ansu-Fati
2023,Barcelona,La Liga,Eric García,ESP,"DF,MF",21,2001,15.7,1397,97,538,781,84,5,1397,4,2,50,2,50,918,4539,2686,25,22,0,10,2,1049,6,https://fbref.com/en/players/2bed3eab/Eric-Garcia
2023,Barcelona,La Liga,Aleix Garrido,ESP,FW,18,2004,0.1,7,0,4,0,3,1,7,1,0,0,1,100,4,30,18,0,0,0,0,0,3,0,https://fbref.com/en/players/5757adc3/Aleix-Garrido
2023,Barcelona,La Liga,Gavi,ESP,"MF,FW",17,2004,28.1,1509,27,148,797,578,71,1509,63,27,42.9,26,41.3,1002,5348,2505,49,68,8,56,33,1133,153,https://fbref.com/en/players/19cae58d/Gavi
2023,Barcelona,La Liga,Frenkie de Jong,NED,MF,25,1997,28.2,2526,45,391,1553,607,47,2526,60,35,58.3,20,33.3,1797,11018,6412,92,95,9,24,22,2036,83,https://fbref.com/en/players/1bacc518/Frenkie-de-Jong
2023,Barcelona,La Liga,Franck Kessié,CIV,MF,25,1996,11,575,25,110,336,133,25,575,18,9,50,6,33.3,349,1732,674,14,11,2,23,10,426,43,https://fbref.com/en/players/05e19d6a/Franck-Kessie
2023,Barcelona,La Liga,Jules Koundé,FRA,DF,23,1998,27,2234,117,675,1215,362,45,2234,28,15,53.6,9,32.1,1477,7400,4587,58,52,5,23,18,1611,61,https://fbref.com/en/players/4d1666ff/Jules-Kounde
2023,Barcelona,La Liga,Robert Lewandowski,POL,FW,33,1988,31.6,1155,17,41,432,694,210,1154,59,30,50.8,26,44.1,781,3757,1361,52,38,25,94,50,998,248,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
2023,Barcelona,La Liga,Memphis,NED,FW,28,1994,1.3,84,0,5,25,55,13,84,7,3,42.9,3,42.9,50,233,91,2,2,3,7,4,69,19,https://fbref.com/en/players/8f696594/Memphis
2023,Barcelona,La Liga,Pedri,ESP,MF,19,2002,22,1652,13,161,954,556,58,1652,61,36,59,22,36.1,1202,6987,3387,67,81,14,32,31,1334,99,https://fbref.com/en/players/0d9b2d31/Pedri
2023,Barcelona,La Liga,Iñaki Peña,ESP,GK,23,1999,0.8,27,21,27,0,0,0,27,0,0,NA,0,NA,19,93,35,0,0,0,0,0,14,0,https://fbref.com/en/players/cc1c5035/Inaki-Pena
2023,Barcelona,La Liga,Gerard Piqué,ESP,DF,35,1987,4.3,424,38,126,290,9,5,424,1,1,100,0,0,284,1789,1197,3,2,0,2,1,320,1,https://fbref.com/en/players/adfc9123/Gerard-Pique
2023,Barcelona,La Liga,Raphinha,BRA,FW,25,1996,23,1596,17,84,547,979,131,1596,106,45,42.5,52,49.1,999,5616,2794,97,67,53,55,24,1148,339,https://fbref.com/en/players/3423f250/Raphinha
2023,Barcelona,La Liga,Chadi Riad,MAR,MF,19,2003,0,1,0,1,0,0,0,1,0,0,NA,0,NA,1,8,0,0,0,0,0,0,1,0,https://fbref.com/en/players/b3b9b8b8/Chadi-Riad
2023,Barcelona,La Liga,Sergi Roberto,ESP,"DF,MF",30,1992,14.5,1051,30,179,565,312,31,1051,13,5,38.5,4,30.8,658,2976,1773,47,32,6,9,3,781,72,https://fbref.com/en/players/335fa267/Sergi-Roberto
2023,Barcelona,La Liga,Marc-André ter Stegen,GER,GK,30,1992,37.2,1457,1076,1436,22,0,0,1457,0,0,NA,0,NA,963,4887,3425,0,0,0,1,1,851,0,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen
2023,Barcelona,La Liga,Pablo Torre,ESP,"FW,MF",19,2003,1.6,114,3,12,49,55,1,114,7,3,42.9,2,28.6,69,313,162,4,6,0,5,4,87,16,https://fbref.com/en/players/04e531b6/Pablo-Torre
2023,Barcelona,La Liga,Ferrán Torres,ESP,"FW,MF",22,2000,15.5,756,10,67,256,441,87,755,68,30,44.1,26,38.2,489,2748,1199,43,34,23,48,23,598,180,https://fbref.com/en/players/9e1035f8/Ferran-Torres
2023,Barcelona,La Liga,Lamine Yamal,ESP,FW,15,2007,0.1,12,0,0,1,11,1,12,2,0,0,2,100,9,23,9,0,1,0,0,0,10,2,https://fbref.com/en/players/82ec26c1/Lamine-Yamal
2023,Betis,La Liga,Abner,BRA,DF,22,2000,6.7,425,25,128,189,113,11,425,10,3,30,7,70,204,858,469,8,7,4,10,4,231,25,https://fbref.com/en/players/7f9c5d2d/Abner
2023,Betis,La Liga,Paul Akouokou,CIV,"MF,DF",24,1997,5,233,33,102,117,16,1,233,5,3,60,2,40,116,369,122,1,2,0,5,0,136,1,https://fbref.com/en/players/31f5b89b/Paul-Akouokou
