Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Url
2023,Espanyol,La Liga,José Gragera,ESP,"MF,DF",21,2000,5.1,1,4,1,25,0.78,0.2,0.25,1,11.6,0,0,0,0.7,0.7,0.22,0.3,0.3,https://fbref.com/en/players/ee45d138/Jose-Gragera
2023,Espanyol,La Liga,Omar El Hilali,MAR,"DF,MF",18,2003,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,https://fbref.com/en/players/139560df/Omar-El-Hilali
2023,Espanyol,La Liga,Joselu,ESP,FW,32,1990,33.2,16,87,33,37.9,2.62,0.99,0.13,0.33,16.1,2,5,5,14.5,10.5,0.12,1.5,0.5,https://fbref.com/en/players/6265208f/Joselu
2023,Espanyol,La Liga,Luca Koleosho,ITA,"FW,DF",17,2004,0.7,1,1,1,100,1.53,1.53,1,1,20.6,0,0,0,0,0,0.03,1,1,https://fbref.com/en/players/fc076f78/Luca-Koleosho
2023,Espanyol,La Liga,Benjamin Lecomte,FRA,GK,31,1991,10,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,https://fbref.com/en/players/2fa2a875/Benjamin-Lecomte
2023,Espanyol,La Liga,Pol Lozano,ESP,MF,22,1999,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,https://fbref.com/en/players/ea610f00/Pol-Lozano
2023,Espanyol,La Liga,Roger Martínez,ESP,DF,18,2004,0.1,0,1,0,0,12.86,0,0,NA,26.5,0,0,0,0,0,0.03,0,0,https://fbref.com/en/players/937c6ae6/Roger-Martinez
2023,Espanyol,La Liga,César Montes,MEX,DF,25,1997,17.7,3,13,6,46.2,0.74,0.34,0.23,0.5,12.9,0,0,0,0.9,0.9,0.07,2.1,2.1,https://fbref.com/en/players/28e957d7/Cesar-Montes
2023,Espanyol,La Liga,Brian Oliván,ESP,DF,28,1994,26.7,1,15,4,26.7,0.56,0.15,0.07,0.25,24.5,1,0,0,0.6,0.6,0.04,0.4,0.4,https://fbref.com/en/players/a3e4bf46/Brian-Olivan
2023,Espanyol,La Liga,Fernando Pacheco,ESP,GK,30,1992,16,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,https://fbref.com/en/players/97852360/Fernando-Pacheco
2023,Espanyol,La Liga,Adrià Pedrosa,ESP,"DF,MF",24,1998,2.5,0,1,0,0,0.39,0,0,NA,19.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,https://fbref.com/en/players/112521d1/Adria-Pedrosa
2023,Espanyol,La Liga,Ronaël Pierre-Gabriel,FRA,DF,24,1998,2.6,1,2,1,50,0.76,0.38,0.5,1,14.6,0,0,0,0.2,0.2,0.08,0.8,0.8,https://fbref.com/en/players/64ba07c0/Ronael-Pierre-Gabriel
2023,Espanyol,La Liga,Javi Puado,ESP,"FW,MF",24,1998,26,7,57,23,40.4,2.19,0.88,0.12,0.3,14.2,0,0,0,7.8,7.8,0.14,-0.8,-0.8,https://fbref.com/en/players/2683eda7/Javi-Puado
2023,Espanyol,La Liga,Nico Ribaudo,ESP,"MF,FW",21,2001,13.9,1,33,11,33.3,2.38,0.79,0.03,0.09,20.4,3,0,0,3.7,3.7,0.11,-2.7,-2.7,https://fbref.com/en/players/ce8039aa/Nico-Ribaudo
2023,Espanyol,La Liga,Rubén,ESP,"DF,MF",21,2001,9.9,0,9,0,0,0.91,0,0,NA,19.1,0,0,0,0.5,0.5,0.06,-0.5,-0.5,https://fbref.com/en/players/35d4f151/Ruben
2023,Espanyol,La Liga,Simo,ESP,DF,17,2005,1.6,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,https://fbref.com/en/players/7f271d74/Simo
2023,Espanyol,La Liga,Vinicius Souza,BRA,MF,23,1999,27,1,10,4,40,0.37,0.15,0.1,0.25,21.9,0,0,0,0.8,0.8,0.08,0.2,0.2,https://fbref.com/en/players/6a8a7af8/Vinicius-Souza
2023,Espanyol,La Liga,Denis Suárez,ESP,"MF,FW",28,1994,10.5,0,4,2,50,0.38,0.19,0,0,19.4,0,0,0,0.5,0.5,0.12,-0.5,-0.5,https://fbref.com/en/players/12c50af5/Denis-Suarez
2023,Espanyol,La Liga,Nabil Touaizi,MAR,MF,21,2001,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,https://fbref.com/en/players/e96b2583/Nabil-Touaizi
2023,Espanyol,La Liga,Aleix Vidal,ESP,"MF,FW",32,1989,11.4,0,3,2,66.7,0.26,0.18,0,0,17.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,https://fbref.com/en/players/04965583/Aleix-Vidal
2023,Getafe,La Liga,Omar Alderete,PAR,DF,25,1996,22.7,1,17,8,47.1,0.75,0.35,0.06,0.13,17.6,0,0,0,0.6,0.6,0.04,0.4,0.4,https://fbref.com/en/players/bb08bce9/Omar-Alderete
2023,Getafe,La Liga,Carles Aleñá,ESP,"MF,FW",24,1998,23.5,2,33,10,30.3,1.4,0.42,0.06,0.2,22.3,0,0,0,2.3,2.3,0.07,-0.3,-0.3,https://fbref.com/en/players/6c811eb7/Carles-Alena
