Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Url
2023,Atlético Madrid,La Liga,Ivo Grbić,CRO,GK,26,1996,10.2,330,207,122,23,0,0,0,0,0,0,0,0,219,1,0,https://fbref.com/en/players/3f034750/Ivo-Grbic
2023,Atlético Madrid,La Liga,Antoine Griezmann,FRA,"FW,MF",31,1991,31.8,1597,1457,136,34,16,20,131,6,72,42,17,0,1236,4,39,https://fbref.com/en/players/df69b544/Antoine-Griezmann
2023,Atlético Madrid,La Liga,Mario Hermoso,ESP,DF,27,1995,23.4,1514,1381,126,39,5,38,16,87,0,0,0,0,1309,7,17,https://fbref.com/en/players/555f3a0b/Mario-Hermoso
2023,Atlético Madrid,La Liga,Koke,ESP,MF,30,1992,28.3,2038,1964,59,52,8,17,24,4,0,0,0,0,1784,15,30,https://fbref.com/en/players/55126f3b/Koke
2023,Atlético Madrid,La Liga,Geoffrey Kondogbia,CTA,MF,29,1993,11.2,634,620,14,13,0,11,0,1,0,0,0,0,567,0,2,https://fbref.com/en/players/cce181df/Geoffrey-Kondogbia
2023,Atlético Madrid,La Liga,Thomas Lemar,FRA,MF,26,1995,13.9,814,776,36,10,6,7,44,9,15,5,7,0,690,2,16,https://fbref.com/en/players/4dbd0916/Thomas-Lemar
2023,Atlético Madrid,La Liga,Marcos Llorente,ESP,"MF,DF",27,1995,18.9,816,759,53,0,1,4,44,53,0,0,0,0,660,4,26,https://fbref.com/en/players/02c15616/Marcos-Llorente
2023,Atlético Madrid,La Liga,Reinildo Mandava,MOZ,DF,28,1994,20.6,1067,945,121,24,0,4,16,97,0,0,0,0,918,1,18,https://fbref.com/en/players/c20bdcd7/Reinildo-Mandava
2023,Atlético Madrid,La Liga,José María Giménez,URU,DF,27,1995,26.9,1333,1270,62,51,0,19,0,5,0,0,0,0,1183,1,5,https://fbref.com/en/players/f0da930c/Jose-Maria-Gimenez
2023,Atlético Madrid,La Liga,Carlos Martín,ESP,"FW,MF",20,2002,0.3,11,11,0,0,0,0,2,0,0,0,0,0,6,0,0,https://fbref.com/en/players/64035864/Carlos-Martin
2023,Atlético Madrid,La Liga,Memphis,NED,FW,28,1994,3,90,80,10,1,2,0,5,1,5,3,1,0,68,0,1,https://fbref.com/en/players/8f696594/Memphis
2023,Atlético Madrid,La Liga,Nahuel Molina,ARG,DF,24,1998,31.9,1930,1605,323,16,7,6,120,300,7,4,3,0,1452,2,61,https://fbref.com/en/players/23610943/Nahuel-Molina
2023,Atlético Madrid,La Liga,Álvaro Morata,ESP,FW,29,1992,21.1,422,405,15,0,3,6,4,2,0,0,0,0,270,2,7,https://fbref.com/en/players/129af0db/Alvaro-Morata
2023,Atlético Madrid,La Liga,Saúl Ñíguez,ESP,"MF,DF",27,1994,12.2,520,492,26,2,2,1,15,23,0,0,0,0,408,2,9,https://fbref.com/en/players/c14bc029/Saul-Niguez
2023,Atlético Madrid,La Liga,Jan Oblak,SVN,GK,29,1993,27.7,817,522,292,64,0,1,0,0,0,0,0,0,538,3,0,https://fbref.com/en/players/ee8508c0/Jan-Oblak
2023,Atlético Madrid,La Liga,Sergio Reguilón,ESP,DF,25,1996,3.4,147,131,15,1,1,0,9,14,0,0,0,0,117,1,7,https://fbref.com/en/players/3353737a/Sergio-Reguilon
2023,Atlético Madrid,La Liga,Stefan Savić,MNE,DF,31,1991,21.6,1141,1107,29,22,0,4,0,7,0,0,0,0,1001,5,4,https://fbref.com/en/players/f6ac68c1/Stefan-Savic
2023,Atlético Madrid,La Liga,Axel Witsel,BEL,"DF,MF",33,1989,25.1,1328,1281,47,45,0,3,2,2,0,0,0,0,1229,0,8,https://fbref.com/en/players/5dfc6ad5/Axel-Witsel
2023,Barcelona,La Liga,Ángel Alarcón,ESP,"FW,MF",18,2004,0.3,8,8,0,0,0,0,1,0,0,0,0,0,5,0,0,https://fbref.com/en/players/455c26a4/Angel-Alarcon
2023,Barcelona,La Liga,Jordi Alba,ESP,DF,33,1989,15.8,1460,1277,178,40,4,8,91,137,1,0,0,0,1217,5,24,https://fbref.com/en/players/4601e194/Jordi-Alba
2023,Barcelona,La Liga,Marcos Alonso,ESP,DF,31,1990,13,1005,956,47,16,1,11,23,16,12,6,4,0,896,2,8,https://fbref.com/en/players/f4290206/Marcos-Alonso
2023,Barcelona,La Liga,Ronald Araújo,URU,DF,23,1999,20,1287,1207,75,41,2,19,5,25,0,0,0,0,1139,5,6,https://fbref.com/en/players/2bef2bca/Ronald-Araujo
2023,Barcelona,La Liga,Pierre-Emerick Aubameyang,GAB,FW,33,1989,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
2023,Barcelona,La Liga,Alejandro Balde,ESP,DF,18,2003,27.5,1670,1444,217,32,0,5,67,185,0,0,0,0,1482,9,19,https://fbref.com/en/players/5ccc9672/Alejandro-Balde
